sa4_code,sa4_name,state,sa3_code,sa3_name,service_count,fee_per_hr,prc_growth_since_last_yr,number_of_services_above_cap,prc_services_above_the_cap,year
511,"Western
Australia -
Outback (South)",WA,51104,Mid West,16,10.94,5.6505667281346,2,12.5,2022
601,Hobart,TAS,60101,Brighton,<5,NA,0,0,0,2022
601,Hobart,TAS,60102,"Hobart - North
East",15,10.3,3.36040150564614,0,0,2022
601,Hobart,TAS,60103,"Hobart - North
West",10,10.49,4.60814828115958,0,0,2022
601,Hobart,TAS,60104,"Hobart - South
and West",7,9.66,5.4771923971019,0,0,2022
601,Hobart,TAS,60105,Hobart Inner,26,10.19,3.831668429506,0,0,2022
601,Hobart,TAS,60106,"Sorell - Dodges
Ferry",<5,NA,0,0,0,2022
602,"Launceston and
North East",TAS,60201,Launceston,25,10.7,2.7919067273804,2,8,2022
602,"Launceston and
North East",TAS,60202,"Meander Valley -
West Tamar",<5,NA,0,0,0,2022
602,"Launceston and
North East",TAS,60203,North East,9,9.4,3.21469505132014,0,0,2022
603,South East,TAS,60301,"Central Highlands
(Tas.)",<5,NA,0,0,0,2022
603,South East,TAS,60302,"Huon - Bruny
Island",5,9.3,5.56505003324958,0,0,2022
603,South East,TAS,60303,South East Coast,<5,NA,0,0,0,2022
604,"West and North
West",TAS,60401,"Burnie -
Ulverstone",13,9.55,2.64831016315645,0,0,2022
604,"West and North
West",TAS,60402,Devonport,7,9.88,-0.6848404291114,0,0,2022
604,"West and North
West",TAS,60403,West Coast,<5,NA,0,0,0,2022
701,Darwin,NT,70101,Darwin City,10,10.59,2.83450774314263,1,10,2022
701,Darwin,NT,70102,Darwin Suburbs,29,10.29,5.00108890700688,2,6.89655172413793,2022
701,Darwin,NT,70103,Litchfield,10,7.47,-5.2215375421426,0,0,2022
701,Darwin,NT,70104,Palmerston,20,10.29,3.5185276603058,0,0,2022
702,"Northern
Territory -
Outback",NT,70201,Alice Springs,24,6.89,-0.2618976032762,0,0,2022
702,"Northern
Territory -
Outback",NT,70202,Barkly,<5,NA,0,0,0,2022
