sa2_code_2021,Private 4 profit%,Fee per hr,Fee growth%,% fee above cap,Low quality%,On track%,Prenatal visits%,Low b/weight%,Age4 enr%,Reg/remote%,Indig%,SEIFA %,cluster
403021061,28.57,11.06,4.35663815315867,8.33333333333333,14.285714285714285,57.70000000000002,96.6,7.5,89.93288590604027,0,2.5974025974025974,0.3,3
403021062,33.33,11.06,4.35663815315867,8.33333333333333,0,58.20000000000001,96.6,7.5,98.42931937172776,0,2.15633423180593,0.43,3
403021063,0,11.06,4.35663815315867,8.33333333333333,0,56.10000000000001,96.6,7.5,90.15151515151516,0,2.213541666666667,0.64,3
403021064,55.56,11.06,4.35663815315867,8.33333333333333,22.22222222222222,60.9,96.6,7.5,91.30434782608695,0,2.857142857142857,0.37,3
403031065,33.33,11.76,3.29965797525236,15.7894736842105,16.666666666666664,64.9,98.2,5.2,114.6341463414634,0,0,0.9,1
403031066,20,11.76,3.29965797525236,15.7894736842105,0,78.49999999999999,98.2,5.2,100,0,1.7391304347826086,0.73,1
403031067,14.29,11.76,3.29965797525236,15.7894736842105,0,70.9,98.2,5.2,91.56626506024097,0,1.6317016317016315,0.85,1
403031068,42.86,11.76,3.29965797525236,15.7894736842105,14.285714285714285,55.39999999999999,98.2,5.2,95.74468085106383,0,1.1278195488721805,0.75,3
403031069,25,11.76,3.29965797525236,15.7894736842105,12.5,64.3,98.2,5.2,95.39473684210526,0,0.33975084937712347,0.89,1
403031070,33.33,11.76,3.29965797525236,15.7894736842105,0,45.5,98.2,5.2,86.04651162790698,0,2.2388059701492535,0.55,3
404011090,60,10.96,4.60800572689851,4.16666666666667,0,54.2,95.5,5.2,83.33333333333334,0,3.074670571010249,0.38,3
404011091,40,10.96,4.60800572689851,4.16666666666667,20,52.6,95.5,5.2,85.48387096774194,0,2.749770852428964,0.39,3
404011092,50,10.96,4.60800572689851,4.16666666666667,0,59.8,95.5,5.2,85.06493506493507,0,1.770956316410862,0.66,3
404011093,33.33,10.96,4.60800572689851,4.16666666666667,0,55.2,95.5,5.2,83.53658536585365,0,2.552816901408451,0.46,3
404011094,75,10.96,4.60800572689851,4.16666666666667,0,54.400000000000006,95.5,5.2,77.21518987341773,0,2.178649237472767,0.19,3
404011095,20,10.96,4.60800572689851,4.16666666666667,0,63.5,95.5,5.2,82.27848101265823,0,3.656307129798903,0.35,3
404011096,20,10.96,4.60800572689851,4.16666666666667,0,68.39999999999999,95.5,5.2,81.75182481751825,0,3.7859007832898177,0.56,3
404011097,50,10.96,4.60800572689851,4.16666666666667,20,53.7,95.5,5.2,77.52293577981652,0,4.354587869362364,0.24,3
404021099,0,10.74,6.62611503001665,7.69230769230769,0,67.19999999999999,94,6.1,83.8323353293413,0,6.148491879350348,0.46,3
404021100,14.29,10.74,6.62611503001665,7.69230769230769,0,63,94,6.1,81.09756097560977,0,8.59375,0.26,3
404021101,42.86,10.74,6.62611503001665,7.69230769230769,42.857142857142854,55.60000000000001,94,6.1,94.54545454545455,0,5.890804597701149,0.1,3
404021102,28.57,10.74,6.62611503001665,7.69230769230769,0,37.6,94,6.1,67.24890829694323,0,2.846715328467153,0.06,3
406011129,0,9.57,1.39471912891155,6.25,33.33333333333333,28.9,95.6,8,105,100,44.34782608695652,0.26,2
406011130,0,9.57,1.39471912891155,6.25,0,60.6,95.6,8,47.5609756097561,100,7.415254237288135,0.39,2
406011131,0,9.57,1.39471912891155,6.25,0,62,95.6,8,56.81818181818182,100,1.1152416356877324,0.41,2
406011132,0,9.57,1.39471912891155,6.25,0,83.30000000000001,95.6,8,86.66666666666667,100,5,0.4,2
406011133,12.5,9.57,1.39471912891155,6.25,12.5,45.1,95.6,8,76.43979057591623,100,11.238938053097346,0.23,2
406011134,0,9.57,1.39471912891155,6.25,0,41.5,95.6,8,78.26086956521739,100,21.722846441947567,0.27,2
406011136,0,9.57,1.39471912891155,6.25,10,54.89999999999999,95.6,8,88.04780876494024,100,13.068181818181818,0.06,2
407011144,0,10.21,3.7091226803176,7.69230769230769,0,47.10000000000001,97.9,4,94.73684210526315,100,4.008908685968819,0.22,2
407011145,0,10.21,3.7091226803176,7.69230769230769,0,65.9,97.9,4,71.15384615384616,100,3.9867109634551494,0.28,2
407011146,20,10.21,3.7091226803176,7.69230769230769,20,74.2,97.9,4,83.52941176470588,100,4.242424242424243,0.37,3
407011147,0,10.21,3.7091226803176,7.69230769230769,0,43.10000000000001,97.9,4,85.18518518518519,100,4.439252336448598,0.5,2
407011148,20,10.21,3.7091226803176,7.69230769230769,0,48.00000000000001,97.9,4,78.15126050420169,100,6.456692913385827,0.22,2
407011149,0,10.21,3.7091226803176,7.69230769230769,0,50.9,97.9,4,65.45454545454545,100,4.804804804804805,0.31,2
407031159,0,10.25,4.39527276107478,6.25,0,41.10000000000001,97,6.7,77.77777777777779,100,6.402439024390244,0.15,2
407031160,0,10.25,4.39527276107478,6.25,0,52.400000000000006,97,6.7,94.11764705882352,100,12.25296442687747,0.06,2
407031161,0,10.25,4.39527276107478,6.25,50,36.1,97,6.7,80,100,0,0.34,2
407031162,0,10.25,4.39527276107478,6.25,0,59.3,97,6.7,105.35714285714286,100,7.712082262210797,0.21,2
407031164,0,10.25,4.39527276107478,6.25,33.33333333333333,51.9,97,6.7,43.39622641509434,100,6.993006993006993,0.12,2
407031165,33.33,10.25,4.39527276107478,6.25,11.11111111111111,47.70000000000001,97,6.7,94.88636363636364,100,10.799319727891156,0.05,2
407031166,0,10.25,4.39527276107478,6.25,0,48.70000000000001,97,6.7,62.16216216216216,100,6.719367588932807,0.35,2
407031167,33.33,10.25,4.39527276107478,6.25,0,54.50000000000001,97,6.7,85.36585365853658,100,10.689655172413794,0.04,2
407031168,0,10.25,4.39527276107478,6.25,0,50,97,6.7,81.35593220338984,100,4.833836858006042,0.32,2
407031169,16.67,10.25,4.39527276107478,6.25,16.666666666666664,53.1,97,6.7,70.83333333333334,100,11.604095563139932,0.17,2
407031170,0,10.25,4.39527276107478,6.25,33.33333333333333,32.800000000000004,97,6.7,80,100,7.163323782234957,0.14,2
501011001,33.33,11.72,3.36836893765454,18.75,0,72.1,98.4,5.5,89.53488372093024,100,2.857142857142857,0.5,3
