sa2_code_2016,sa2_5dig_2016,sa2_name_2016,sa3_code_2016,sa3_name_2016,sa4_code_2016,sa4_name_2016,gcc_code_2016,gcc_name_2016,state_code_2016,state_name_2016,areasqkm_2016,cent_long,cent_lat,service_approval_number,service_name,mgmt_type,suburb,postcode,state,seifa,aria,nqs_max_total_places,service_sub_type,nqs_overall_rating,dataset,mgmt_type_adj
397979799,39799,Migratory - Offshore - Shipping (Qld),39797,Migratory - Offshore - Shipping (Qld),397,Migratory - Offshore - Shipping (Qld),39799,Migratory - Offshore - Shipping (Qld),3,Queensland,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399999499,39499,No usual address (Qld),39999,No usual address (Qld),399,No usual address (Qld),39499,No usual address (Qld),3,Queensland,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402041039,41039,Dry Creek - North,40204,Salisbury,402,Adelaide - North,4GADE,Greater Adelaide,4,South Australia,38.5669,138.5674501990841,-34.78278829914649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402041042,41042,Parafield,40204,Salisbury,402,Adelaide - North,4GADE,Greater Adelaide,4,South Australia,4.6289,138.6310084194144,-34.79662451557396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403041082,41082,Lonsdale,40304,Onkaparinga,403,Adelaide - South,4GADE,Greater Adelaide,4,South Australia,9.84,138.4928590676459,-35.10679097340339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404021098,41098,Dry Creek - South,40402,Port Adelaide - West,404,Adelaide - West,4GADE,Greater Adelaide,4,South Australia,6.1446,138.54590817015304,-34.825203988005335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404021103,41103,Torrens Island,40402,Port Adelaide - West,404,Adelaide - West,4GADE,Greater Adelaide,4,South Australia,8.8253,138.52882747815963,-34.79021149886217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406011135,41135,Western,40601,Eyre Peninsula and South West,406,South Australia - Outback,4RSAU,Rest of SA,4,South Australia,168955.7763,131.45948144209666,-29.77802370322759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406011137,41137,Whyalla - North,40601,Eyre Peninsula and South West,406,South Australia - Outback,4RSAU,Rest of SA,4,South Australia,80.449,137.58387562070257,-32.97262471591901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407031163,41163,Loxton Region,40703,Murray and Mallee,407,South Australia - South East,4RSAU,Rest of SA,4,South Australia,4790.3875,140.59122079118575,-34.622591017650336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
